index, name                                                   , type      , volume-mm3 
316 , ctx-lh-precentral_8                                    , cortical  ,      524.0 
315 , ctx-lh-precentral_7                                    , cortical  ,      427.0 
314 , ctx-lh-precentral_6                                    , cortical  ,      752.0 
496 , Left-Hippocampus_Molecular_layer_HP                    , subcortical,      760.0 
497 , Left-Hippocampus_Hippocampal_fissure                   , subcortical,       91.0 
3   , ctx-rh-lateralorbitofrontal_3                          , cortical  ,     1840.0 
368 , ctx-lh-superiorparietal_6                              , cortical  ,      909.0 
369 , ctx-lh-superiorparietal_7                              , cortical  ,      899.0 
366 , ctx-lh-superiorparietal_4                              , cortical  ,      842.0 
367 , ctx-lh-superiorparietal_5                              , cortical  ,      975.0 
364 , ctx-lh-superiorparietal_2                              , cortical  ,      915.0 
365 , ctx-lh-superiorparietal_3                              , cortical  ,      364.0 
362 , ctx-lh-supramarginal_9                                 , cortical  ,      443.0 
363 , ctx-lh-superiorparietal_1                              , cortical  ,     1640.0 
360 , ctx-lh-supramarginal_7                                 , cortical  ,     1236.0 
361 , ctx-lh-supramarginal_8                                 , cortical  ,      972.0 
380 , ctx-lh-inferiorparietal_5                              , cortical  ,      617.0 
381 , ctx-lh-inferiorparietal_6                              , cortical  ,      800.0 
382 , ctx-lh-inferiorparietal_7                              , cortical  ,      683.0 
383 , ctx-lh-inferiorparietal_8                              , cortical  ,      717.0 
384 , ctx-lh-inferiorparietal_9                              , cortical  ,     1004.0 
385 , ctx-lh-inferiorparietal_10                             , cortical  ,      438.0 
386 , ctx-lh-inferiorparietal_11                             , cortical  ,      731.0 
387 , ctx-lh-inferiorparietal_12                             , cortical  ,     1259.0 
388 , ctx-lh-precuneus_1                                     , cortical  ,      532.0 
389 , ctx-lh-precuneus_2                                     , cortical  ,      843.0 
60  , ctx-rh-precentral_2                                    , cortical  ,      972.0 
61  , ctx-rh-precentral_3                                    , cortical  ,      364.0 
258 , ctx-lh-parsorbitalis_1                                 , cortical  ,     1855.0 
259 , ctx-lh-parsorbitalis_2                                 , cortical  ,     1069.0 
64  , ctx-rh-precentral_6                                    , cortical  ,      741.0 
65  , ctx-rh-precentral_7                                    , cortical  ,      453.0 
66  , ctx-rh-precentral_8                                    , cortical  ,      489.0 
67  , ctx-rh-precentral_9                                    , cortical  ,      507.0 
252 , ctx-lh-lateralorbitofrontal_2                          , cortical  ,     1105.0 
69  , ctx-rh-precentral_11                                   , cortical  ,      393.0 
250 , Right-Hypothalamus                                     , subcortical,     1052.0 
251 , ctx-lh-lateralorbitofrontal_1                          , cortical  ,     1126.0 
256 , ctx-lh-lateralorbitofrontal_6                          , cortical  ,     2109.0 
257 , ctx-lh-lateralorbitofrontal_7                          , cortical  ,     1656.0 
254 , ctx-lh-lateralorbitofrontal_4                          , cortical  ,     1301.0 
255 , ctx-lh-lateralorbitofrontal_5                          , cortical  ,     1044.0 
504 , Brain_Stem-SCP                                         , subcortical,      223.0 
502 , Brain_Stem-Pons                                        , subcortical,    18740.0 
503 , Brain_Stem-Medulla                                     , subcortical,     5825.0 
500 , Left-Hypothalamus                                      , subcortical,     1012.0 
501 , Brain_Stem-Midbrain                                    , subcortical,     7922.0 
469 , ctx-lh-insula_3                                        , cortical  ,      778.0 
468 , ctx-lh-insula_2                                        , cortical  ,     1224.0 
465 , ctx-lh-superiortemporal_11                             , cortical  ,     2422.0 
464 , ctx-lh-superiortemporal_10                             , cortical  ,      932.0 
467 , ctx-lh-insula_1                                        , cortical  ,      654.0 
466 , ctx-lh-transversetemporal_1                            , cortical  ,     1032.0 
461 , ctx-lh-superiortemporal_7                              , cortical  ,     1040.0 
460 , ctx-lh-superiortemporal_6                              , cortical  ,     1508.0 
463 , ctx-lh-superiortemporal_9                              , cortical  ,      612.0 
462 , ctx-lh-superiortemporal_8                              , cortical  ,     2007.0 
168 , ctx-rh-lingual_3                                       , cortical  ,      525.0 
169 , ctx-rh-lingual_4                                       , cortical  ,      584.0 
164 , ctx-rh-lateraloccipital_9                              , cortical  ,     1045.0 
165 , ctx-rh-lateraloccipital_10                             , cortical  ,     1822.0 
166 , ctx-rh-lingual_1                                       , cortical  ,     1135.0 
167 , ctx-rh-lingual_2                                       , cortical  ,      768.0 
160 , ctx-rh-lateraloccipital_5                              , cortical  ,      788.0 
161 , ctx-rh-lateraloccipital_6                              , cortical  ,     1204.0 
162 , ctx-rh-lateraloccipital_7                              , cortical  ,     1174.0 
163 , ctx-rh-lateraloccipital_8                              , cortical  ,     1284.0 
9   , ctx-rh-parsorbitalis_2                                 , cortical  ,     1647.0 
357 , ctx-lh-supramarginal_4                                 , cortical  ,     1444.0 
356 , ctx-lh-supramarginal_3                                 , cortical  ,     1476.0 
355 , ctx-lh-supramarginal_2                                 , cortical  ,      831.0 
354 , ctx-lh-supramarginal_1                                 , cortical  ,      570.0 
353 , ctx-lh-postcentral_12                                  , cortical  ,      602.0 
352 , ctx-lh-postcentral_11                                  , cortical  ,      507.0 
351 , ctx-lh-postcentral_10                                  , cortical  ,      453.0 
350 , ctx-lh-postcentral_9                                   , cortical  ,      620.0 
359 , ctx-lh-supramarginal_6                                 , cortical  ,     1251.0 
